日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/10/01,"2,303,097","739,883,311",325.00,325.50,319.00,320.50,-5.00,"2,446"
110/10/04,"1,726,868","558,384,452",323.00,325.00,322.00,324.00,+3.50,"1,512"
110/10/05,"1,669,499","539,325,814",321.00,327.00,320.50,324.00, 0.00,"2,993"
110/10/06,"1,939,610","626,175,667",326.00,326.00,321.00,323.00,-1.00,"1,658"
110/10/07,"4,014,197","1,339,088,516",327.00,337.00,327.00,337.00,+14.00,"3,426"
110/10/08,"2,375,201","801,896,701",334.00,339.00,333.00,338.00,+1.00,"2,310"
110/10/12,"2,585,960","875,195,757",338.50,342.00,333.50,338.00, 0.00,"2,223"
110/10/13,"3,558,066","1,218,007,082",340.00,345.00,338.50,343.50,+5.50,"3,213"
110/10/14,"3,621,372","1,217,244,328",344.00,344.50,332.00,333.50,-10.00,"3,423"
110/10/15,"1,912,148","640,930,410",336.00,337.50,333.50,334.00,+0.50,"1,602"
110/10/18,"1,558,916","525,171,805",336.00,339.00,335.50,335.50,+1.50,"1,459"
110/10/19,"1,834,276","620,110,844",338.00,339.50,336.50,339.00,+3.50,"1,669"
110/10/20,"3,822,174","1,318,102,599",341.00,348.00,339.50,344.50,+5.50,"4,020"
110/10/21,"3,944,419","1,376,356,769",347.00,351.00,346.50,349.00,+4.50,"3,106"
110/10/22,"3,971,431","1,406,102,344",353.00,356.00,350.50,356.00,+7.00,"3,464"
110/10/25,"2,967,735","1,054,830,844",354.50,359.50,352.00,353.00,-3.00,"3,805"
110/10/26,"3,213,174","1,145,057,154",354.50,358.50,352.00,356.50,+3.50,"2,445"
110/10/27,"1,428,018","508,987,281",355.50,358.50,354.50,357.50,+1.00,"1,330"
110/10/28,"1,795,370","639,105,379",357.00,359.00,354.00,354.00,-3.50,"1,664"
110/10/29,"2,454,931","864,345,205",354.00,356.50,350.50,353.00,-1.00,"2,157"
